trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
43bacd894f917eae,4490,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1055,299.3333333333333
0372f7eabfa72423,6386,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1695,425.73333333333335
5b377ef5bcf8c630,7434,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1561,495.6
558fbf41de93bd25,6197,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1822,413.1333333333333
39ccbe43240c47ab,7098,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1530,473.2
0e2f5e165a09ae33,7304,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1356,486.93333333333334
75aa633c8a880d40,5059,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1314,337.26666666666665
639c399a800f5934,8470,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1756,564.6666666666666
741ad749b165bdf4,6387,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1865,425.8
7513025b63857b5e,5530,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1402,368.6666666666667
7b8f2e30b76a29a7,5812,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1449,387.46666666666664
79b56e0ae357b26d,7831,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1501,522.0666666666667
1f626bbcc84882e9,7721,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1652,514.7333333333333
7e10938d627e82ca,52055,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,reservation,44700,3470.3333333333335
593d3e24d36c88c4,5386,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1303,359.06666666666666
048fcc8f1bcb41f7,94072,5,False,0.0,,HTTP POST /reservation,user; reservation; frontend,reservation,91981,18814.4
78a9ef683d491a26,9971,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,3699,664.7333333333333
067e038a0066c8e1,4585,15,False,0.0,,HTTP GET /hotels,reservation; rate; geo; search; profile; frontend,frontend,1140,305.6666666666667
39aa897ffd8dce9f,6282,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1510,418.8
4e4cdc6713e33067,6810,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1691,454.0
27c08bc2187177cb,5775,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1382,385.0
448d33415545731c,8715,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1520,581.0
6188a63969e638ff,4430,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1017,295.3333333333333
767088e914eb6cd4,6375,15,False,0.0,,HTTP GET /hotels,reservation; geo; rate; search; profile; frontend,frontend,1640,425.0
