trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
4b25ced70deeba58,5073,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1475,341.1333333333333
243d35cd3dad1d9b,5497,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2165,366.46666666666664
2ffafcd10e64e48f,5815,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1573,391.26666666666665
3614727d7926c23c,19646,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,15578,1309.7333333333333
575461cba5145b38,8404,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2181,595.4666666666667
178e796298672e68,7403,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1917,534.6666666666666
56beebbea260f850,8172,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1878,590.8666666666667
004e3ccd86623a1a,36997,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,29320,2515.2
63c6d4cc6bc36e38,76971,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,69061,5171.933333333333
0cdd656b341bbdc0,4779,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1334,321.8666666666667
37f72a9f13eb7db8,6005,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,search,1593,409.53333333333336
6c3f812fd41dd79c,37714,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,29952,2571.133333333333
359ad6597f6104f8,6901,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2086,510.93333333333334
56e7725ce5c7744b,72387,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,65869,4872.266666666666
1b52b0e68b4c7a9e,67185,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,65031,4479.0
0f30c02275011bb7,5324,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1630,358.8
4e96e2887a43558f,63296,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,56011,4265.466666666666
2ed348270bc80ee8,5002,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1298,339.26666666666665
3eda880a521816ec,8814,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2092,629.6
791e9675179f1076,7213,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2157,532.4666666666667
0ff10db3829c86e6,4597,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1241,308.73333333333335
78fd02a018413f81,5780,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1729,388.3333333333333
47569b8922ba8586,19798,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,12661,1364.8
595cdc23d9c58fa5,7237,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2039,531.4666666666667
2ee082c5366ee252,10589,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,6559,705.9333333333333
5f175b166293f550,6343,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1911,479.2
10bbb00014e4ca06,37163,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,33449,2480.4666666666667
758d2eec3009514c,5146,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1344,346.06666666666666
0b624b945d70c97a,9698,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,6219,646.5333333333333
761d855f18bee14b,4789,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1229,323.2
4d6ac941e129f612,5246,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1435,352.8666666666667
4ef17efb63dd08e6,8619,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,2229,613.6
2cc02aa036a8cab1,15729,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,search,11905,1052.4
424d8d841c3be6aa,53098,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,45085,3586.9333333333334
192bcb3b39d49c38,5522,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1593,373.4
1c44e3c31585df1f,5260,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1515,354.1333333333333
7e5e5bc561852d47,5129,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,frontend,1411,345.53333333333336
41e65a19e0d338b7,53314,15,False,0.0,,HTTP GET /hotels,reservation; rate; frontend; profile; geo; search,reservation,45806,3600.8
