trace_id,latency,total_spans,contains_errors,error_rate,error_messages,operation,services,longest_span_service,longest_span_duration,mean_span_duration
3c599aaba078b501,12082,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3373,937.8666666666667
5d98ce3e3a08fd89,11477,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3315,915.4
5c0ecf79471bba6c,10908,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2973,864.2666666666667
44cb7c95e4c41ba8,7324,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3109,493.4
7f665dd6f920e36b,9016,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3446,594.7333333333333
22791f033d59ac38,14492,16,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2823,957.9375
28e1987249ec7e83,12248,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3278,973.7333333333333
4f6ec9998aeae6d0,12955,16,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3194,964.5625
476c1054d97e31c8,7901,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3252,531.7333333333333
6ddd0197c78b8467,8177,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3146,544.9333333333333
1502d44680799372,8098,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3184,543.1333333333333
37ccb93aa1bed806,7854,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3302,534.0666666666667
0cbd13d0858bd10e,8159,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3170,548.1333333333333
17dd2f543fba11b7,14721,19,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3284,1087.2631578947369
4af889ea6f4bed94,30382,22,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,rate,13357,3999.0
685eeea20243d58d,8230,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3110,560.3333333333334
10331ab8b050972c,15731,16,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,search,4066,1023.5625
406210d1ed059166,8385,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3405,567.8666666666667
7ed8542ba88e6264,11808,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,search,4787,783.2
208e9df0b0c2357a,10981,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,2911,868.1333333333333
3f65d497dfce6b81,11989,15,False,0.0,,HTTP GET /hotels,frontend; search; profile; reservation; geo; rate,frontend,3395,925.1333333333333
